generation,genome_id,fitness,diversity,agreement,num_nodes,num_connections
1,160,0.001073300838470459,0.001073300838470459,0.96484375,2,5
1,161,0.03965592384338379,0.03965592384338379,0.7578125,1,3
1,162,0.08319040702190252,0.09882479906082153,0.63671875,2,5
1,163,0.0009931325912475586,0.0009931325912475586,0.96484375,1,3
1,164,0.03622156381607056,0.03622156381607056,0.7890625,1,4
1,165,0.003184676170349121,0.003184676170349121,0.94140625,1,3
1,166,0.005601763725280762,0.005601763725280762,0.94921875,1,3
1,167,0.007901012897491455,0.007901012897491455,0.91015625,1,4
1,168,0.05408191680908203,0.05408191680908203,0.80078125,1,3
1,169,0.03897589445114136,0.03897589445114136,0.7578125,1,4
1,170,0.039008498191833496,0.039008498191833496,0.7578125,1,3
1,171,0.0009931325912475586,0.0009931325912475586,0.96484375,1,4
1,172,0.007875382900238037,0.007875382900238037,0.91015625,1,4
1,173,0.00592195987701416,0.00592195987701416,0.9609375,1,3
1,174,0.03965592384338379,0.03965592384338379,0.7578125,1,3
1,175,0.009705126285552979,0.009705126285552979,0.90625,1,4
1,176,0.019870638847351074,0.019870638847351074,0.84375,1,3
1,177,0.03605389595031738,0.03605389595031738,0.8203125,1,3
1,178,0.02584785223007202,0.02584785223007202,0.796875,1,4
1,179,0.018217504024505615,0.018217504024505615,0.88671875,2,5
1,180,0.03889346122741699,0.03889346122741699,0.7890625,1,3
1,181,0.012327015399932861,0.012327015399932861,0.90234375,1,3
1,182,0.02850818634033203,0.02850818634033203,0.85546875,2,4
1,183,0.024785995483398438,0.024785995483398438,0.8359375,1,4
1,184,0.06605607271194458,0.06605607271194458,0.78125,1,4
1,185,0.018623173236846924,0.018623173236846924,0.83203125,1,3
1,186,0.04556286334991455,0.04556286334991455,0.79296875,1,3
1,187,0.028560221195220947,0.028560221195220947,0.84375,1,4
1,188,0.03486526012420654,0.03486526012420654,0.8125,1,3
1,189,0.0644916296005249,0.0644916296005249,0.7890625,1,2
1,190,0.003859877586364746,0.003859877586364746,0.9609375,1,4
1,191,0.017096638679504395,0.017096638679504395,0.85546875,1,4
1,192,0.019603490829467773,0.019603490829467773,0.82421875,1,3
1,193,0.009079217910766602,0.009079217910766602,0.8984375,1,4
1,194,0.004854381084442139,0.004854381084442139,0.9375,1,3
1,195,0.02282768487930298,0.02282768487930298,0.83984375,1,3
1,196,0.04798811674118042,0.04798811674118042,0.8046875,1,4
1,197,0.020824313163757324,0.020824313163757324,0.87109375,1,3
1,198,0.0009934306144714355,0.0009934306144714355,0.96484375,1,3
1,199,0.0267411470413208,0.0267411470413208,0.8203125,1,4
1,200,0.02965724468231201,0.02965724468231201,0.8125,1,3
1,201,0.018866360187530518,0.018866360187530518,0.875,1,4
1,202,0.025643527507781982,0.025643527507781982,0.81640625,1,4
